0,3328,512,3582,766
1,3072,768,3836,1532
2,3328,2560,3838,3070
3,3072,1536,3836,2300
4,3072,3584,3326,3838
5,3072,3328,3582,3582
6,2816,1536,3070,1790
7,2304,1792,3068,2302
8,2048,1536,2812,1790
9,1536,2048,1792,2304
10,1792,1792,2556,2302
11,1536,1536,2046,2046
12,2560,3328,2814,3582
13,2560,1024,3070,1534
14,1792,1024,2556,1534
15,2304,512,3068,1022
16,2304,3584,2558,3838
17,768,3584,1024,3840
18,512,2816,1280,3584
19,256,2560,768,3072
20,1024,2560,1536,3072
21,1024,3328,1536,3840
22,512,3328,768,3584
23,768,2560,1024,2816
24,1280,3072,1536,3328
25,2304,2816,2814,3326
26,2304,3328,2430,3454
27,256,3328,512,3584
28,768,2304,1024,2560
29,1536,3072,1792,3328
30,256,1536,1024,2304
31,2048,3584,2174,3710
32,1536,3584,1792,3840
33,1792,3584,2048,3840
34,768,256,1280,768
35,512,512,1024,1024
36,256,256,768,768
37,256,3072,512,3328
38,256,3584,768,3840
39,3328,3584,3584,3840
40,3712,3328,3840,3840
41,3584,3328,3712,3840
42,2816,3328,3072,3584
43,2560,3584,3072,3840
44,3840,3840,4094,4094
45,3328,3072,3840,3328
46,2816,3072,3328,3328
47,2816,2816,3328,3072
48,256,2304,512,2560
49,512,2304,768,2560
50,2048,3072,2304,3328
51,2048,3328,2304,3584
52,2816,2560,3328,2816
53,2304,2560,2816,2816
54,3584,256,3840,512
55,1024,768,1280,1280
56,2048,2816,2304,3072
57,1536,3328,1792,3584
58,1792,512,2304,1024
59,1024,2048,1536,2560
60,1536,2304,2300,2814
61,1024,1280,1536,2048
62,256,0,512,256
63,1537,1276,1793,1532
64,2816,3850,3580,4050
65,0,0,0,0
66,0,0,0,0
67,0
